index,sentiment,text
934,positive,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .
2749,neutral,Finnish Rautaruukki 's engineering division Ruukki Engineering will re-organise its operations in the Mo i Rana plant in Norway .
3757,neutral,"Thanks to its extensive industry and operations experience , Cybercom offers strategic and technological expertise to these markets : telecom , industry , media , public sector , retail , and banking and financial services ."
2017,neutral,"In 2009 , KONE had annual net sales of EUR 4.7 billion and approximately 34,000 employees ."
1580,neutral,Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .
196,positive,Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .
4721,negative,The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008 .
133,positive,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales ."
2294,positive,"Outokumpu of Finland , stainless steel manufacturer , plans to enter into a supply agreement with the Indian Railways ."
1906,neutral,Nokia said the outcome was a `` fair and responsible social plan . ''
321,positive,Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .
118,positive,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .
261,positive,Orion Pharma 's operating profit increased by 42.5 % from 2004 .
598,positive,"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 ."
4049,negative,The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .
905,positive,The mill has long traditions and holds an established position in the markets .
1902,neutral,"It is profitable to make pulp , paper , and sawn goods in areas where the combination of these factors is good ."
4204,negative,"In Sweden , there is an oversupply of pharmacies ."
4456,positive,"These financing arrangements will enable the company to ensure , in line with its treasury policy , that it has sufficient financial instruments at its disposal for its potential capital requirements ."
3861,neutral,"The manufacture of CPPs will be undertaken at the existing Export Oriented Unit EOU at Wartsila 's factory at Khopoli , near Mumbai ."
1056,neutral,Medical Devices - Russia This brand-new market analysis gives a clear overview of the actual situation and future outlook of the medical device market in Russia .
1706,negative,"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur ."
322,positive,Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .
2033,neutral,Poyry 's net sales in 2007 amounted to about EUR 720 million and it employs 7400 experts .
4371,negative,Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .
149,positive,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .
4383,negative,The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them .
4559,negative,Ruukki Group calculates that it has lost EUR 4mn in the failed project .
579,neutral,Patrizia adds the acquisition to a portfolio already worth EUR3bn .
421,negative,"Compared with the FTSE 100 index , which rose 36.7 points ( or 0.6 % ) on the day , this was a relative price change of -0.2 % ."
2585,neutral,The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors .
3746,neutral,"Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people ."
3010,neutral,"LONDON ( AFX ) - Intertek Group PLC , a testing and inspection company , said its commercial and electrical division has bought Finland-based company Natlabs Oy from Etteplan Oyj for 1.3 mln eur in cash ."
3283,neutral,"The maximum obligated total trades per day is ISK 400,000,000 market value ."
3371,neutral,"The talks involved the Food and Ingredients Divisions , as well as group service functions , the company said ."
3435,neutral,"Uncertainties still exist , however ."
1190,neutral,"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team ."
1266,neutral,It will provide heating in the form of hot water for the sawmill 's needs .
1895,neutral,City CU Welcomes DART Members DALLAS-City CU welcomes the members of DART FCU as they merge with City CU .
226,positive,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .
17,positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said ."
3352,neutral,The secondary antenna can also be used for reception of the high power signal of the radar to calibrate the transmission channels of the radar . ''
1657,neutral,"The ten year rent contract with the right of prolongation on the existing terms , was signed between Stockmann and the owner of the shopping center in 1998 ."
1680,neutral,"To showcase our end-to-end capabilities at the Mobile World Congress , we arranged an internal MeeGo application development competition to entice developers to create new applications ."
4789,negative,"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company ."
2065,positive,`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . ''
3974,neutral,Vaisala 's expertise in lightning data and information systems is based on extensive experience and investment in R&D .
1206,neutral,"DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele , while Nordea would be a `` good strategic fit '' , according to the document published by Pietiek ."
4168,neutral,Among the biggest Christmas sellers were a  35 satin bow shift dress styled on outfits worn by Victoria Beckham and a  75 Paris Hilton Prom dress .
418,neutral,"As earlier reported , Nokian Tyres is building a plant in the town of Vsevolozhsk in Russia 's Leningrad Region with an annual production capacity of 4 million tires ."
4117,negative,"In this case , the effect would be negative in Finland ."
988,positive,"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations ."
1062,neutral,"Nokia will continue to invest in future development of Qt , and Digia will be responsible for commercial licensing and services business ."
3074,neutral,"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros ."
3457,neutral,"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline ."
1870,neutral,The StoneGate product is centrally manageable and suited for both physical and virtual environments .
572,neutral,"The company has also supplied more than 200 MW of power generating equipment for a number of projects in Papua New Guinea , including 12 engines of the Wartsila 32 type to Lihir Gold ."
229,positive,"( ADP News ) - Feb 6 , 2009 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR 19.2 million ( USD 24.6 m ) for 2008 from EUR 17.5 million for 2007 ."
4188,neutral,"Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) said on Friday ( 9 May ) that its president and CEO , Kari Kallio , has informed the board of his intention to retire in year 2009 ."
86,positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' ."
440,neutral,Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .
1872,neutral,The tower 's engineers have created an 18 degree westward lean - four times the inclination on the Leaning Tower of Pisa - using diagrid structures that are aligned geometrically using Tekla Structures BIM ( Building Information Modeling ) software .
1427,positive,The solutions will be used for upgrading the networks of a Russian MSO in 37 different cities in Russia .
2692,neutral,This release is not an offer of securities for sale into the United States or elsewhere .
288,positive,The company expects its net sales in 2008 to increase 5-10 % from 2007 .
2694,neutral,"Through its partnership with Finnish Paulig 's Danish subsidiary Oscar , Puljonki acquired a sales organization in the European market ."
2193,positive,"Tallink claims the watertight doors of both Vana Tallinn and Regina Baltica , including their electrical systems , are fully in working order ."
1300,positive,"O'Leary 's Material Handling Services , located in Perth , is the leading company in Western Australia that supplies , installs and provides service for tail lifts ."
3846,neutral,The expansion is to be finalized in the autumn of 2009 .
242,positive,Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .
3682,neutral,"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share ."
3201,neutral,The company 's model is based on developer contracting construction projects and customer focused project management .
1382,neutral,The first of the two project phases is expected to be completed by the end of 2012 .
1999,positive,"Talentum expects that the net sales of its core business will increase in 2008 , compared to 2007 ."
4702,negative,Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 .
3696,neutral,No planned closing date was provided .
2949,neutral,"In a recent interview with the Financial Times ( FT ) , Sampo 's board chairman Bjorn Wahlroos said If P&C was certainly for sale and the price had been set at SEK 85 billion , confirming earlier statements ."
2756,negative,"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily ."
3530,neutral,Around 250 of these reductions will be implemented through pension arrangements .
1182,neutral,"Aspo 's strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors ."
998,neutral,The inventor was issued U.S. Patent No. .
4689,negative,"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o"
3041,neutral,Negotiations with representatives of the personnel regarding the restructuring process have now been ended .
2944,neutral,Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI ) .
944,positive,Deliveries have started and the network will be ready for a launch soon .
935,positive,"Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland ."
3131,neutral,"Stockholm , 3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions ."
3504,neutral,"According to Finnish L+Ænnen Tehtaat 's CEO Matti Karppinen , now that L+Ænnen Tehtaat has sold the majority of its feed and grain business , it will quickly start to look for acquisitions ."
1292,neutral,Neste Oil Corporation Refining Operation Asset Summary Report Summary Neste Oil Corporation Refining Operation Assets Summary Report is an essential source for company data and information .
880,positive,"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery ."
2242,neutral,"The segment has an annual revenue of approximately EUR400m , the company said ."
996,positive,These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .
346,positive,Marimekko Group 's full-year net sales are estimated to increase by about 10 % .
558,positive,"The tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side ."
4733,negative,"However , its market share shrank to 47.59 per cent from 48 per cent a year earlier ."
1556,neutral,Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .
2378,neutral,"Member of the HK Ruokatalo Group in Finland , Scan , is launching a joint venture slaughterhouse with Team Ugglarp in Sk+_ne , southern Sweden ."
4086,positive,EBIT excluding non-recurring items was estimated to increase from 2009 .
3025,neutral,"May 29 , 2010 ( CompaniesandMarkets.com delivered by Newstex ) -- This report provides key data and information on the meat , fish and poultry market in Finland ."
1504,neutral,"Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila ."
257,positive,"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn ."
2024,neutral,International operations accounted for over 80 % of net sales .
2587,neutral,The Board of Directors was authorized to decide on other terms of the share issue .
1148,negative,"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees ."
1649,neutral,The potential acquirer is Cencorp Corporation which is a related entity to SAV owing to each of SAV and Cencorp being a subsidiary of the Finnish Savcor Group Oy .
4711,negative,"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 ."
4018,neutral,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) reported on Thursday ( 6 November ) an operating loss of EUR1 .3 m on net sales of EUR11 .9 m for the period January to September 2008 .
2067,positive,3 January 2011 - Finnish flag carrier Finnair Oyj ( HEL : FIA1S ) said today it sealed a nine-year sale and leaseback agreement for its newest Airbus A330 aircraft for syndication into the Japanese operating lease market .
3311,neutral,"The other two sellers were the Finnish National Fund for R&D ( Sitra ) and Oras Invest Oy , which also sold half of their shareholdings , leaving them with 3.8 pct and 3.2 pct of the company respectively ."
1666,positive,"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM ."
4217,neutral,"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 ."
953,neutral,"Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions ."
3889,neutral,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson ."
1949,positive,This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .
1752,positive,"( ADP News ) - Finnish handling systems provider Cargotec Oyj ( HEL : CGCBV ) announced on Friday it won orders worth EUR 10 million ( USD 13.2 m ) to deliver linkspans to Jordan , Morocco and Ireland ."
3521,neutral,All depends on financing .
2012,positive,"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said ."
3269,neutral,The idea of saving electricity in data transfer is still a new one .
2929,neutral,He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .
4070,negative,"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year ."
4543,negative,"Only the driver was left in the car with the suspect , who was kidnapped and forced at gunpoint to drive to Durham ."
840,positive,"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster ."
2592,neutral,The capital structure of Solidium may be complemented by other financial instruments in the future .
4438,negative,"`` We cut our frequency to New York last year , which explains the fall , '' he said ."
3108,neutral,"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators ."
1513,neutral,"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 ."
1458,neutral,"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 ."
1593,neutral,s already good position in the technical building services market in Ostrobothnia .
4400,negative,Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .
1445,neutral,Tracker G400 is a GPS collar for hunting dogs allowing to monitor the dog 's position and movements with a map application for mobile phones .
2436,neutral,Dutch publisher De Vijver said today it has agreed to buy a 49 % stake in Belgian weekly magazine Humo from Finnish media company Sanoma HEL : SAA1V .
92,positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 ."
3016,neutral,"( ADP News ) - Nov 3 , 2008 - Finnish paper , packaging and forest products company Stora Enso Oyj ( OMX : STERV ) said today that it would invest EUR 137 million ( USD 176.6 m ) in the building of a power plant at its Ostroleka Mi"
1759,positive,Satama earned Data Management Solutions competency with Business Intelligence specialization recentlyvia the acquisition of Fimentor Oy .
4825,negative,"have notified that as a result of the Company issuing 14,432,000 new shares in the directed offering , the joint holdings of Pequot has decreased below 1-10 to 9.63 % of total number of shares and votes in the Company ."
2549,neutral,Protalix has $ 42 million in cash and no sales .
234,positive,"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery ."
2975,neutral,"It also includes the installation of new equipment , training and start-up services , as well as service work of the shoe press delivered by Vaahto in 2001 ."
4460,positive,Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .
897,positive,The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .
2967,neutral,"Includes company and brand share data by category , as well as distribution channel data ."
2619,neutral,The cranes would be installed onboard two freighters ordered by Singaporean ship owner Masterbulk .
961,positive,Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 .
1285,neutral,Merging the two free sheets will clarify the market situation .
4424,negative,Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .
983,positive,"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 ."
1336,neutral,Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .
4128,neutral,"Secure your files online Like filling out a tax return , making a backup is boring ."
4622,negative,"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 ."
1997,negative,"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea"
4822,positive,The 2015 target for net sales has been set at EUR 1bn and the target for return on investment at over 20 % .
4832,negative,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales ."
3930,neutral,"The unit 's clients are mainly in the field of specialist convenience goods , as well as in the textile , shoe and furniture businesses ."
2223,neutral,The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 .
1120,positive,: Lietuvos Respublikos sveikatos apsaugos ministerija has awarded contract to UAB `` AFFECTO LIETUVA '' for financial systems software package .
2951,negative,"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed ."
2215,neutral,"The company 's profit totaled Ls 134,700 ."
3883,neutral,"The orders are for 26 machine-room-less KONE MonoSpace elevators , which would be installed during 2006 ."
635,neutral,"The Vuokatti unit will be developed to focus especially on the manufacture of prototypes , the ramp-up of new products and the demanding testing and after-sales services ."
2216,neutral,"The company targets sales of Ls 27.1 mn ( Ls 23.498 mn ) and a profit of Ls 300,000 ( Ls 371,500 ) in 2007 ."
444,neutral,Solidium picked up Tikkurila shares as a dividend at a book value of EUR15 .80 per share .
3449,neutral,We are now taking Marimekko there on a distinctly more significant scale .
1958,neutral,"`` We will continue to make it easier for users to explore services on their handsets and will work towards bringing Internet to a wider range of devices including mid and low-end devices , '' said Kallasvuo ."
868,positive,"Nokia controls more than 50 percent of phone sales in India and Africa , and has a strong prosition on most other emerging markets ."
2722,neutral,`` Serving customers locally is one of the cornerstones of customer focus for us .
2381,neutral,"According to business media reports , Usmanov planned to transfer his MegaFon stake to the state-controlled Svyazinvest , in exchange for a stake in the merged RosTelecom ."
389,positive,"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market ."
2744,neutral,"Finnish AC drives manufacturer Vacon is acquiring the AC drives business of TB Wood 's , part of the US group Altra Holdings ."
1473,neutral,`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .
436,neutral,It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .
4172,neutral,Antniemi refuted a report by the Finnish daily Turun Sanomat as if the company was reorganizing its operations in the Baltic countries .
3051,neutral,No financial details were revealed .
3007,neutral,"Later on , about 150 Finnish-made houses will be build in the area ."
4723,negative,The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .
4249,neutral,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly ."
4015,negative,Earnings per share were at loss of EUR0 .24 .
2505,neutral,LONDON AFX - Fortum said it has agreed to sell its industrial maintenance service operations to funds managed by CapMan for an undisclosed sum .
109,positive,"International sales rose by 59.8 % to EUR 1,244.4 mn ."
3985,neutral,"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation ."
3275,neutral,The lay-offs will start gradually and will last from one to six weeks .
2779,neutral,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 23.4.2007 Ahlstrom Corporation will publish its first quarter financial results 2007 on Friday , April 27 , 2007 approximately at 8.30 a.m. Finnish time ."
4109,neutral,"As part of its new strategy , Finnish Biohit is planning to incorporate its diagnostics business into a separate limited company ."
834,positive,"Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday ."
3046,positive,New product launches in Finland will more than double from 2005 .
1283,neutral,LSC 's 30 employees will move to Ixonos with their existing status and benefits .
443,neutral,SHARE REPURCHASE 11.01.2008 In the Helsinki Stock Exchange On behalf of Sampo plc Danske Bank A-S Helsinki Branch
3129,positive,"ST. PETERSBURG , Oct 14 ( PRIME-TASS ) -- Finnish tire producer Nokian Tyres plans to invest about 50 million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia 's Leningrad Region in 2011 , the company 's President Kim Gran told reporters Thursday ."
3328,neutral,"The power supplies , DC power systems and inverters designed and manufactured by Efore , and systems incorporating them are used in many different applications ."
4411,negative,"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia ."
2275,neutral,Finnish construction company Lemminkainen Oyj HEL : LEM1S said yesterday that it would build a plastic film extrusion plant for packaging materials supplier Ab Rani Plast Oy at Lemminkainen 's Kaluga industrial park in Russia .
643,positive,Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .
570,neutral,"Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 ."
451,positive,The company has committed to further expanding the Apollo portfolio .
1197,neutral,"CHS Expo Freight is a major Finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea ."
1070,positive,"Pearl Plaza LLC , the joint venture of SRV and Shanghai Industrial Investment Holdings Co Ltd , has concluded the investment decision on construction of the first phase of the shopping center in Saint Petersburg , Russia ."
3539,neutral,"Aspocomp Group , headquartered in Helsinki , Finland , develops interconnection solutions for the electronics industry ."
1957,neutral,`` I see my new post as an inspiring challenge .
3692,neutral,Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .
4588,negative,"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 ."
2814,neutral,"As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland ."
3487,neutral,`` We are selling an information systems development business to the Finns .
2629,neutral,"The Finnish business delegation includes representatives from over 20 companies that include Nokia Corp , Finnfund , Outokumpu Oyj , OKO Bank , Alteams Oy and Cargotec Corp. ."
4063,negative,"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 ."
2204,positive,The company also expects to sell its products in other Russian region .
2471,neutral,He confirmed his view on July 6 .
989,positive,The stock of new machines is reasonably small and new orders bring work .
306,positive,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers ."
10,positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .
14,positive,"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 ."
1894,positive,CDLI highlights the companies that provided the most comprehensive response to the Carbon Disclosure Project CDP information request .
2534,positive,Oriola-KD expects its invoicing in 2008 to be higher than the comparable invoicing of 2007 .
3084,neutral,Pohjola will act as the manager of the issue and the bond will be listed on NASDAQ OMX Helsinki Ltd. .
4,positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales ."
682,negative,Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .
2293,positive,"Order intake , on the other hand , is expected to be stronger than in 2007 ."
2924,positive,"Glaston , headquartered in Tampere , Finland , is a growing , international glass technology company ."
1652,neutral,"The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices ."
4064,negative,Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .
332,positive,Finnish metal components supplier Componenta Oyj said its net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .
2306,positive,"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam ."
1282,positive,( I&H ) in a move to enhance growth .
285,positive,The agreement expands Tekla Structures ' scope of use to bridge design .
3354,neutral,"The sellers include 40 shareholders , including Intellibis management , employees and other investors ."
473,positive,"After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights ."
4536,positive,"Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday rejected a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA ."
2571,neutral,"STOCKMANN plc COMPANY ANNOUNCEMENT February 20 , 2007 , at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com ."
2639,neutral,"The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic ."
2772,neutral,AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries .
3450,neutral,What we think ?
1542,neutral,"In the Baltics , the merger of the businesses of the two is expected to be completed in early 2008 ."
2452,neutral,"Financial Statements include the consolidated financial statements of the Group , the Board of Directors ' Report , the Auditors ' Report and the Corporate Governance Statement ."
1772,neutral,"`` These patronage refunds reward members that use the fee-based services that make a positive contribution to CenCorp 's operating results , '' said Bill Walby , CenCorp CEO ."
4397,negative,"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September ."
3214,neutral,"The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles ."
2465,neutral,"Founded in 1923 , Finnair is one of the world 's oldest airlines and flies to 60 destinations with a fleet of 63 aircraft , employing 9,500 people ."
3910,neutral,"The Swedish Maritime Administration has closed the Furusund Channel , which Viking Line normally charters en route to Stockholm ."
2537,neutral,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Serbia , Finland , Canada , Russia , Ukraine , Portugal , Denmark , Ireland , South Korea , Estonia and Liechtenstein ."
3303,neutral,The online ice chart shows no ice in the area of Estonia 's sea ports on the coast of the Gulf of Finland .
2791,neutral,"ALEXANDRIA , Va. , Oct. 6 -- United States Patent no. 7,804,288 , issued on Sept. 28 , was assigned to Vacon Oyj ( Vaasa , Finland ) ."
4213,negative,"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs ."
4520,neutral,"We offer our clients integrated management consulting , total solutions for complex projects and efficient , best-in-class design and supervision ."
290,positive,"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt ."
3571,neutral,"Deutsche Beteiligungs , as well as a private equity fund it manages , first bought 75 % of MCE in a secondary buyout from White Plains , N.Y. , financial investor Andlinger & Co. in 2007 ."
729,positive,"For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 ."
3471,neutral,"- The Group - s profit before taxes was EUR 0,2 7,8 million ."
